,pl_name,pl_orbper,pl_eqt,pl_orbeccen,st_rad,pl_imppar,pl_orbincl,pl_insol,pl_ratdor,pl_trandep
10288,Kepler-1455 b,49.2768448,271.0,0.0,0.53,0.022000000000000002,89.99,1.28,102.4,0.11329000000000002
10289,Kepler-1456 b,18.1373829,433.0,0.0,0.6,0.2385,89.38,8.31,38.61,0.03827
10290,Kepler-1456 b,18.1373829,433.0,0.0,0.6,0.2385,89.38,8.31,38.61,0.03827
10291,Kepler-1456 b,18.1373788,433.0,0.0,0.6,0.945,86.12,8.31,13.97,0.03108
10294,Kepler-1456 b,18.1373829,433.0,0.0,0.6,0.2385,89.38,8.31,38.61,0.03827
10297,Kepler-1457 b,51.1110243,478.0,0.0,0.88,0.1627,89.95,12.38,49.14,0.03951
10299,Kepler-1457 b,51.1110243,478.0,0.0,0.88,0.1627,89.95,12.38,49.14,0.03951
10303,Kepler-1457 b,51.1104797,478.0,0.0,0.88,0.028999999999999998,89.97,12.38,51.45,0.033
10305,Kepler-1457 b,51.1110243,478.0,0.0,0.88,0.1627,89.95,12.38,49.14,0.03951
10307,Kepler-1458 b,47.9872764,493.0,0.0,0.98,0.0532,89.95,14.01,79.09,0.09128
10308,Kepler-1458 b,47.9872764,493.0,0.0,0.98,0.0532,89.95,14.01,79.09,0.09128
10309,Kepler-1458 b,47.9872764,493.0,0.0,0.98,0.0532,89.95,14.01,79.09,0.09128
10313,Kepler-1458 b,47.9869119,493.0,0.0,0.98,0.873,88.67,14.01,37.7,0.08592999999999999
10316,Kepler-1459 b,62.86916110000001,377.0,0.0,0.87,0.1345,89.95,4.8,83.8,0.03556
10317,Kepler-1459 b,62.86916110000001,377.0,0.0,0.87,0.1345,89.95,4.8,83.8,0.03556
10318,Kepler-1459 b,62.869463,349.0,0.0,0.78,0.9540000000000001,87.89,3.51,25.9,0.03417
10319,Kepler-1459 b,62.86916110000001,377.0,0.0,0.87,0.1345,89.95,4.8,83.8,0.03556
10324,Kepler-146 b,31.15879749,640.0,0.0,1.06,0.4905,89.38,39.77,41.5,0.08777
10325,Kepler-146 b,31.15879749,640.0,0.0,1.06,0.4905,89.38,39.77,41.5,0.08777
10328,Kepler-146 b,31.15879749,640.0,0.0,1.06,0.4905,89.38,39.77,41.5,0.08777
10331,Kepler-146 b,31.158824900000003,639.0,0.0,1.16,0.028999999999999998,89.97,39.46,47.233999999999995,0.0959
10340,Kepler-146 c,76.7325168,474.0,0.0,1.06,0.2751,89.95,11.96,93.2,0.07377
10341,Kepler-146 c,76.7324556,473.0,0.0,1.16,0.462,89.69,11.86,85.9,0.06857
10344,Kepler-146 c,76.7325168,474.0,0.0,1.06,0.2751,89.95,11.96,93.2,0.07377
10346,Kepler-146 c,76.7325168,474.0,0.0,1.06,0.2751,89.95,11.96,93.2,0.07377
10349,Kepler-1460 b,29.963324699999998,391.0,0.0,0.64,0.0556,89.95,5.55,89.2,0.09633
10350,Kepler-1460 b,29.963324699999998,391.0,0.0,0.64,0.0556,89.95,5.55,89.2,0.09633
10351,Kepler-1460 b,29.963324699999998,391.0,0.0,0.64,0.0556,89.95,5.55,89.2,0.09633
10355,Kepler-1460 b,29.9632816,391.0,0.0,0.64,0.855,89.04,5.55,51.0,0.08932000000000001
10356,Kepler-1461 b,29.349477500000003,452.0,0.0,0.72,0.4344,89.38,9.9,49.5,0.0739
10357,Kepler-1461 b,29.349477500000003,452.0,0.0,0.72,0.4344,89.38,9.9,49.5,0.0739
10358,Kepler-1461 b,29.3493852,451.0,0.0,0.72,0.75,88.82,9.81,36.4,0.06592
10363,Kepler-1461 b,29.349477500000003,452.0,0.0,0.72,0.4344,89.38,9.9,49.5,0.0739
10366,Kepler-1462 b,65.6488341,390.0,0.0,0.82,0.0242,89.95,5.48,69.86,0.15395999999999999
10367,Kepler-1462 b,65.6488341,390.0,0.0,0.82,0.0242,89.95,5.48,69.86,0.15395999999999999
10371,Kepler-1462 b,65.6491001,390.0,0.0,0.82,0.038,89.97,5.48,70.61,0.09838999999999999
10372,Kepler-1462 b,65.6488341,390.0,0.0,0.82,0.0242,89.95,5.48,69.86,0.15395999999999999
10377,Kepler-1463 b,25.159338899999998,619.0,0.0,0.94,0.035,89.95,34.7,37.6,0.03581
10378,Kepler-1463 b,25.15864,619.0,0.0,0.94,0.2051,89.95,34.7,37.0,0.03808
10379,Kepler-1463 b,25.15864,619.0,0.0,0.94,0.2051,89.95,34.7,37.0,0.03808
10380,Kepler-1463 b,25.15864,619.0,0.0,0.94,0.2051,89.95,34.7,37.0,0.03808
10383,Kepler-1464 b,31.778590100000002,564.0,0.0,0.93,0.0504,89.95,23.96,30.56,0.027489999999999997
10385,Kepler-1464 b,31.778590100000002,564.0,0.0,0.93,0.0504,89.95,23.96,30.56,0.027489999999999997
10389,Kepler-1464 b,31.778756400000002,564.0,0.0,0.93,0.29,89.43,23.96,29.18,0.0262
10390,Kepler-1464 b,31.778590100000002,564.0,0.0,0.93,0.0504,89.95,23.96,30.56,0.027489999999999997
10392,Kepler-1464 c,5.32786292,1023.0,0.0,0.93,0.0856,89.38,259.32,8.765,0.00926
10393,Kepler-1464 c,5.32786292,1023.0,0.0,0.93,0.0856,89.38,259.32,8.765,0.00926
10395,Kepler-1464 c,5.32784157,1023.0,0.0,0.93,0.11599999999999999,89.24,259.32,8.7,0.00872
10397,Kepler-1464 c,5.32786292,1023.0,0.0,0.93,0.0856,89.38,259.32,8.765,0.00926
